"dataset_id";"observacao_id";"camada_id";"camada_nome";"amostra_id";"profund_sup";"profund_inf";"acidez_acetcal70_naoh";"aluminio_kcl_naoh";"calcio_kcl_eaa";"magnesio_kcl_eaa";"carbono_cromo_30min150_mohr";"ph_h2o_25_xxx";"fosforo_mehlich1_eam";"potassio_mehlich1_eeac";"sodio_mehlich1_eeac";"dsi_cilindro";"areiafina_naoh_esferas_peneira";"areia_naoh_esferas_peneira";"argila_naoh_esferas_pipeta"
"ctb0036";"ACC-1-2007";"1";NA;"a";"0";"20";NA;1,9;1,2;0,7;4,6;4,7;1,5;0,28;NA;1,69;221;619;223
"ctb0036";"ACC-2-2007";"1";NA;"a";"0";"20";NA;2,1;1,6;0,7;2,9;4,8;2,2;0,36;NA;1,79;220;560;297
"ctb0036";"ACC-3-2007";"1";NA;"a";"0";"20";NA;2,5;1,1;0,6;3,5;4,4;2,2;0,32;NA;1,61;224;519;347
"ctb0036";"ACC-4-2007";"1";NA;"a";"0";"20";NA;2,1;1,6;1,1;4,1;4,4;2,2;0,36;NA;1,59;226;485;368
"ctb0036";"ACC-5-2007";"1";NA;"a";"0";"20";NA;2;1,4;0,6;4,1;4,8;3;0,2;NA;1,55;312;631;201
"ctb0036";"ACC-6-2007";"1";NA;"a";"0";"20";NA;1,6;2;1,3;4,6;4,6;2,2;0,32;NA;1,62;279;559;262
"ctb0036";"ACC-7-2007";"1";NA;"a";"0";"20";NA;0,9;2,6;2;4,6;5,2;2,2;3,04;NA;1,46;268;484;315
"ctb0036";"ACC-8-2007";"1";NA;"a";"0";"20";NA;1,5;1,7;1,1;4,1;4,6;2,2;1,4;NA;1,8;307;566;269
"ctb0036";"ACC-9-2007";"1";NA;"a";"0";"20";NA;0,2;1,4;1;4,1;5,4;1,5;1,84;NA;1,71;296;693;156
"ctb0036";"ACC-10-2007";"1";NA;"a";"0";"20";NA;1,3;1,2;0,6;4,1;4,9;2,2;0,4;NA;1,68;275;636;195
"ctb0036";"ACC-11-2007";"1";NA;"a";"0";"20";NA;2,2;2;0,9;4,6;4,9;2,2;0,24;NA;1,75;246;526;325
"ctb0036";"ACC-12-2007";"1";NA;"a";"0";"20";NA;1,7;2;1,2;3,5;5;2,2;1,04;NA;1,67;274;546;265
"ctb0036";"ACC-13-2007";"1";NA;"a";"0";"20";NA;2,7;1,4;1,1;2,3;4,8;2,2;0,48;NA;1,55;329;639;172
"ctb0036";"ACC-14-2007";"1";NA;"a";"0";"20";NA;2,6;1,4;1,2;4,1;4,9;3;0,44;NA;1,7;321;598;217
"ctb0036";"ACC-15-2007";"1";NA;"a";"0";"20";NA;2,2;1,3;0,7;2,3;4,7;3;0,52;NA;1,65;294;580;271
"ctb0036";"ACC-1-2007";"2";NA;"a";"20";"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-2-2007";"2";NA;"a";"20";"40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-3-2007";"2";NA;"a";"20";"61";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-4-2007";"2";NA;"a";"20";"58";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-5-2007";"2";NA;"a";"20";"80";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-6-2007";"2";NA;"a";"20";"25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-7-2007";"2";NA;"a";"20";"40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-8-2007";"2";NA;"a";"20";"45";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-10-2007";"2";NA;"a";"20";"68";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-11-2007";"2";NA;"a";"20";"95";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-12-2007";"2";NA;"a";"20";"80";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-13-2007";"2";NA;"a";"20";"51";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-14-2007";"2";NA;"a";"20";"42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-15-2007";"2";NA;"a";"20";"33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ctb0036";"ACC-perfil-2008";"1";"A";"a";"0";"50";3,74;1,55;0,52;0,92;6,5;4,8;0,58;0,08;0;NA;NA;649;196
"ctb0036";"ACC-perfil-2008";"2";"B";"a";"50";"100";4,74;2,99;0,96;2,5;4,1;4,8;0,16;0,05;0,02;NA;NA;414;444
"ctb0036";"ACC-perfil-2008";"3";"C";"a";"100";"150";2,54;2,02;0,31;1,45;0,8;5,1;0,29;0,04;0,01;NA;NA;691;118
"ctb0036";"ACC-2006-2008";"1";NA;"a";"0";"20";2,74;0,62;3,74;3,56;8,7;5,3;8,57;0,19;0,03;NA;NA;556;256
"ctb0036";"ACC-2007-2008";"1";NA;"a";"0";"20";4,94;2,82;1,21;1,45;7,5;5;6,14;0,24;0,1;NA;NA;622;217
"ctb0036";"ACC-3005-2008";"1";NA;"a";"0";"20";4,78;2,12;1,14;1,58;8,1;5;2,4;0,07;0,03;NA;NA;543;296
"ctb0036";"ACC-3006-2008";"1";NA;"a";"0";"20";4,74;2,42;1,15;1,84;6,4;4,7;1,8;0,14;0,05;NA;NA;558;272
"ctb0036";"ACC-3007-2008";"1";NA;"a";"0";"20";3,9;2,02;1,05;2,63;5,7;4,9;0,89;0,09;0,08;NA;NA;520;295
"ctb0036";"ACC-3008-2008";"1";NA;"a";"0";"20";2,38;0,67;0,71;1,05;5,8;4,9;1,58;0,1;0,03;NA;NA;743;128
"ctb0036";"ACC-4005-2008";"1";NA;"a";"0";"20";3,6;1,6;1,02;1,84;5,1;5;NA;0,06;0,03;NA;NA;592;241
"ctb0036";"ACC-4006-2008";"1";NA;"a";"0";"20";2,64;0,59;1,29;1,32;6,8;5,2;2,24;0,08;0,03;NA;NA;703;140
"ctb0036";"ACC-4007-2008";"1";NA;"a";"0";"20";4,7;2,97;1,03;2,11;5,2;4,8;0,89;0,08;0,12;NA;NA;539;264
"ctb0036";"ACC-5005-2008";"1";NA;"a";"0";"20";2,54;0,92;0,66;0,92;5,7;5;2,58;0,08;0,03;NA;NA;717;125
"ctb0036";"ACC-5006-2008";"1";NA;"a";"0";"20";3,54;1,27;0,74;1,19;5,3;4,8;1,31;0,11;0,06;NA;NA;641;181
"ctb0036";"ACC-5007-2008";"1";NA;"a";"0";"20";4,54;2,52;0,59;1,45;4,9;4,4;0,74;0,08;0,18;NA;NA;564;265
"ctb0036";"ACC-6004-2008";"1";NA;"a";"0";"20";3,74;1,95;1,03;1,32;4,5;4,7;0,49;0,07;0,07;NA;NA;595;268
"ctb0036";"ACC-6005-2008";"1";NA;"a";"0";"20";3,04;0,9;0,86;1,05;6,6;5;6,34;0,08;0,05;NA;NA;683;153
"ctb0036";"ACC-6006-2008";"1";NA;"a";"0";"20";3,64;1,71;1,24;2,37;4,8;5,2;2,01;0,13;0,08;NA;NA;600;193
"ctb0036";"ACC-6007-2008";"1";NA;"a";"0";"20";4,34;2,12;1,23;1,84;6,6;4,9;NA;0,31;0,1;NA;NA;511;328
"ctb0036";"ACC-7004-2008";"1";NA;"a";"0";"20";2,96;0,54;1,36;2,24;6,9;5,1;1,21;0,16;0,22;NA;NA;614;227
