observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,profund_solum
unidade,-,-,m,m,m,-,-,-,-,-,-,m^2,-,cm
ACC-1-2007,xx-xx-2007,EPSG:31982,"221694,4230","6715173,7580",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,100
ACC-2-2007,xx-xx-2007,EPSG:31982,"221716,7130","6715219,4530",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,40
ACC-3-2007,xx-xx-2007,EPSG:31982,"221736,7740","6715266,8190",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,61
ACC-4-2007,xx-xx-2007,EPSG:31982,"221759,0650","6715316,4150",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,58
ACC-5-2007,xx-xx-2007,EPSG:31982,"221783,0270","6715368,7960",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,80
ACC-6-2007,xx-xx-2007,EPSG:31982,"221812,5610","6715345,9490",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,25
ACC-7-2007,xx-xx-2007,EPSG:31982,"221792,5000","6715303,5980",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,40
ACC-8-2007,xx-xx-2007,EPSG:31982,"221772,9960","6715256,2310",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,45
ACC-9-2007,xx-xx-2007,EPSG:31982,"221755,7210","6715209,9790",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,20
ACC-10-2007,xx-xx-2007,EPSG:31982,"221735,6600","6715168,1850",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,68
ACC-11-2007,xx-xx-2007,EPSG:31982,"221771,8810","6715162,0550",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,95
ACC-12-2007,xx-xx-2007,EPSG:31982,"221789,1560","6715202,1780",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,80
ACC-13-2007,xx-xx-2007,EPSG:31982,"221808,6600","6715242,8570",10,MAPA,BR,RS,Santa Maria,simples,1,"0,04",-,51
